AREA_POND	M_0a9	M_10a19	M_20a29	M_30a39	M_40a49	M_50a59	M_60a69	M_70a79	M_80a89	M_90a99	M_100m	F_0a9	F_10a19	F_20a29	F_30a39	F_40a49	F_50a59	F_60a69	F_70a79	F_80a89	F_90a99	F_100m	Total	90a99	40a49	0a9	70a79	80a89	100m	60a69	10a19	20a29	30a39	50a59
3509007003001	1337,0	1672,0	1378,0	1341,0	1179,0	625,0	275,0	83,0	25,0	4,0	0,0	1343,0	1600,0	1408,0	1470,0	1179,0	636,0	314,0	132,0	48,0	7,0	0,0	16056,0	11,0	2358,0	2680,0	215,0	73,0	0,0	589,0	3272,0	2786,0	2811,0	1261,0
3509205003002	1850,0	1983,0	2054,0	1799,0	1334,0	901,0	497,0	239,0	61,0	5,0	0,0	1647,0	2000,0	1945,0	1807,0	1374,0	948,0	518,0	276,0	85,0	15,0	0,0	21338,0	20,0	2708,0	3497,0	515,0	146,0	0,0	1015,0	3983,0	3999,0	3606,0	1849,0
3509205003001	1406,0	1647,0	1865,0	1535,0	1272,0	822,0	358,0	141,0	49,0	12,0	0,0	1359,0	1609,0	1899,0	1578,0	1314,0	855,0	408,0	203,0	73,0	11,0	2,0	18418,0	23,0	2586,0	2765,0	344,0	122,0	2,0	766,0	3256,0	3764,0	3113,0	1677,0
3509205003003	1995,0	2264,0	2389,0	2215,0	1492,0	995,0	425,0	183,0	50,0	4,0	2,0	1897,0	2197,0	2529,0	2171,0	1565,0	940,0	485,0	190,0	67,0	12,0	3,0	24070,0	16,0	3057,0	3892,0	373,0	117,0	5,0	910,0	4461,0	4918,0	4386,0	1935,0
3510609005004	4850,0	5338,0	6245,0	5101,0	3952,0	2946,0	1627,0	659,0	174,0	26,0	1,0	4675,0	5396,0	6386,0	5451,0	4437,0	3424,0	1907,0	865,0	312,0	44,0	2,0	63818,0	70,0	8389,0	9525,0	1524,0	486,0	3,0	3534,0	10734,0	12631,0	10552,0	6370,0
3510609005003	3767,0	4196,0	4171,0	3764,0	2707,0	1833,0	935,0	339,0	90,0	7,0	0,0	3628,0	4170,0	4347,0	3879,0	2924,0	2029,0	1061,0	445,0	176,0	25,0	0,0	44493,0	32,0	5631,0	7395,0	784,0	266,0	0,0	1996,0	8366,0	8518,0	7643,0	3862,0
3510609005007	4040,0	4607,0	5165,0	4220,0	3205,0	2472,0	1204,0	402,0	108,0	21,0	1,0	3933,0	4539,0	5214,0	4556,0	3638,0	2694,0	1289,0	515,0	178,0	26,0	1,0	52028,0	47,0	6843,0	7973,0	917,0	286,0	2,0	2493,0	9146,0	10379,0	8776,0	5166,0
3510609005005	4950,0	5486,0	5623,0	5205,0	3601,0	2531,0	1332,0	443,0	102,0	14,0	0,0	4763,0	5425,0	5900,0	5611,0	3936,0	2952,0	1477,0	626,0	223,0	33,0	1,0	60234,0	47,0	7537,0	9713,0	1069,0	325,0	1,0	2809,0	10911,0	11523,0	10816,0	5483,0
3510609005006	6291,0	7087,0	7016,0	6121,0	5211,0	3176,0	1469,0	455,0	133,0	14,0	2,0	6114,0	7045,0	7220,0	6694,0	5213,0	3295,0	1518,0	632,0	237,0	52,0	4,0	74999,0	66,0	10424,0	12405,0	1087,0	370,0	6,0	2987,0	14132,0	14236,0	12815,0	6471,0
3513009003005	1338,0	1527,0	1644,0	1295,0	1075,0	796,0	413,0	154,0	39,0	6,0	0,0	1316,0	1492,0	1641,0	1476,0	1193,0	886,0	384,0	188,0	72,0	8,0	2,0	16945,0	14,0	2268,0	2654,0	342,0	111,0	2,0	797,0	3019,0	3285,0	2771,0	1682,0
