CD_GEOCODI	geosample
355030833000075	IGUATEMI
355030833000076	IGUATEMI
355030833000077	IGUATEMI
355030833000078	IGUATEMI
355030833000079	IGUATEMI
355030833000080	IGUATEMI
355030833000081	IGUATEMI
355030833000082	IGUATEMI
355030833000083	IGUATEMI
355030833000084	IGUATEMI
355030833000085	IGUATEMI
355030833000086	IGUATEMI
355030833000087	IGUATEMI
355030833000088	IGUATEMI
355030833000089	IGUATEMI
355030833000090	IGUATEMI
355030833000091	IGUATEMI
355030833000092	IGUATEMI
355030833000093	IGUATEMI
355030833000094	IGUATEMI
355030833000095	IGUATEMI
355030833000096	IGUATEMI
355030833000097	IGUATEMI
355030833000098	IGUATEMI
355030833000099	IGUATEMI
355030833000100	IGUATEMI
355030833000101	IGUATEMI
355030833000102	IGUATEMI
355030833000103	IGUATEMI
355030833000104	IGUATEMI
355030833000105	IGUATEMI
355030833000106	IGUATEMI
355030833000107	IGUATEMI
355030833000108	IGUATEMI
355030833000109	IGUATEMI
355030833000110	IGUATEMI
355030833000111	IGUATEMI
355030833000112	IGUATEMI
355030833000113	IGUATEMI
355030833000114	IGUATEMI
355030833000115	IGUATEMI
355030833000116	IGUATEMI
355030833000117	IGUATEMI
355030833000118	IGUATEMI
355030833000119	IGUATEMI
355030833000120	IGUATEMI
355030833000121	IGUATEMI
355030833000122	IGUATEMI
355030833000123	IGUATEMI
355030833000124	IGUATEMI
355030833000125	IGUATEMI
355030833000126	IGUATEMI
355030833000127	IGUATEMI
355030833000128	IGUATEMI
355030833000129	IGUATEMI
355030833000130	IGUATEMI
355030833000131	IGUATEMI
355030833000132	IGUATEMI
355030833000133	IGUATEMI
355030833000134	IGUATEMI
355030833000135	IGUATEMI
355030833000136	IGUATEMI
355030833000137	IGUATEMI
355030833000138	IGUATEMI
355030833000139	IGUATEMI
355030833000140	IGUATEMI
355030833000141	IGUATEMI
355030833000142	IGUATEMI
355030833000143	IGUATEMI
355030833000144	IGUATEMI
355030833000145	IGUATEMI
355030833000146	IGUATEMI
355030833000147	IGUATEMI
355030833000148	IGUATEMI
355030833000149	IGUATEMI
355030833000150	IGUATEMI
355030833000151	IGUATEMI
355030833000152	IGUATEMI
355030833000153	IGUATEMI
355030833000154	IGUATEMI
355030833000155	IGUATEMI
355030833000156	IGUATEMI
355030833000157	IGUATEMI
355030833000158	IGUATEMI
355030833000159	IGUATEMI
355030833000160	IGUATEMI
355030833000161	IGUATEMI
355030833000162	IGUATEMI
355030833000163	IGUATEMI
355030833000164	IGUATEMI
355030833000165	IGUATEMI
355030833000166	IGUATEMI
355030833000167	IGUATEMI
355030833000168	IGUATEMI
355030833000169	IGUATEMI
355030833000170	IGUATEMI
355030833000171	IGUATEMI
355030833000172	IGUATEMI
355030833000173	IGUATEMI
