CD_GEOCODI	geosample
"355030834000114"	Heliópolis
"355030834000115"	Heliópolis
"355030834000116"	Heliópolis
"355030834000117"	Heliópolis
"355030834000118"	Heliópolis
"355030834000119"	Heliópolis
"355030834000121"	Heliópolis
"355030834000122"	Heliópolis
"355030834000123"	Heliópolis
"355030834000124"	Heliópolis
"355030834000134"	Heliópolis
"355030834000135"	Heliópolis
"355030834000136"	Heliópolis
"355030834000162"	Heliópolis
"355030834000163"	Heliópolis
"355030834000164"	Heliópolis
"355030868000234"	Heliópolis
"355030868000235"	Heliópolis
"355030868000237"	Heliópolis
"355030868000238"	Heliópolis
"355030868000239"	Heliópolis
"355030868000240"	Heliópolis
"355030868000241"	Heliópolis
"355030868000242"	Heliópolis
"355030868000243"	Heliópolis
"355030868000244"	Heliópolis
"355030868000245"	Heliópolis
"355030868000246"	Heliópolis
"355030868000247"	Heliópolis
"355030868000248"	Heliópolis
"355030868000249"	Heliópolis
"355030868000251"	Heliópolis
"355030868000252"	Heliópolis
"355030868000253"	Heliópolis
"355030868000254"	Heliópolis
"355030868000255"	Heliópolis
"355030868000256"	Heliópolis
"355030868000257"	Heliópolis
"355030868000258"	Heliópolis
"355030868000259"	Heliópolis
"355030868000260"	Heliópolis
"355030868000261"	Heliópolis
"355030868000262"	Heliópolis
"355030868000263"	Heliópolis
"355030868000264"	Heliópolis
"355030868000265"	Heliópolis
"355030868000266"	Heliópolis
"355030868000267"	Heliópolis
"355030868000268"	Heliópolis
"355030868000269"	Heliópolis
"355030868000270"	Heliópolis
"355030868000271"	Heliópolis
"355030868000272"	Heliópolis
"355030868000273"	Heliópolis
"355030868000275"	Heliópolis
"355030868000276"	Heliópolis
"355030868000277"	Heliópolis
"355030868000336"	Heliópolis
"355030868000337"	Heliópolis
"355030868000338"	Heliópolis
"355030868000339"	Heliópolis
"355030868000340"	Heliópolis
"355030868000345"	Heliópolis
"355030883000073"	Paraisópolis
"355030883000074"	Paraisópolis
"355030883000076"	Paraisópolis
"355030883000195"	Paraisópolis
"355030883000008"	Paraisópolis
"355030883000009"	Paraisópolis
"355030883000011"	Paraisópolis
"355030883000014"	Paraisópolis
"355030883000015"	Paraisópolis
"355030883000030"	Paraisópolis
"355030883000031"	Paraisópolis
"355030883000032"	Paraisópolis
"355030883000033"	Paraisópolis
"355030883000034"	Paraisópolis
"355030883000035"	Paraisópolis
"355030883000036"	Paraisópolis
"355030883000037"	Paraisópolis
"355030883000038"	Paraisópolis
"355030883000039"	Paraisópolis
"355030883000040"	Paraisópolis
"355030883000041"	Paraisópolis
"355030883000042"	Paraisópolis
"355030883000043"	Paraisópolis
"355030883000044"	Paraisópolis
"355030883000069"	Paraisópolis
"355030883000070"	Paraisópolis
"355030883000072"	Paraisópolis
"355030883000140"	Paraisópolis
"355030883000141"	Paraisópolis
"355030883000142"	Paraisópolis
"355030883000143"	Paraisópolis
"355030883000144"	Paraisópolis
"355030883000145"	Paraisópolis
"355030883000146"	Paraisópolis
"355030883000147"	Paraisópolis
"355030883000149"	Paraisópolis
"355030883000208"	Paraisópolis
"355030883000209"	Paraisópolis
"355030883000210"	Paraisópolis
"355030883000211"	Paraisópolis
"355030883000213"	Paraisópolis
"355030883000214"	Paraisópolis
"355030883000219"	Paraisópolis
"355030883000222"	Paraisópolis
